,Acridi,AgaGut,Aphidi,ArcCinA,ArcCinJ,AtheriL,BaeSpp,BemDec,BemFas,BemPun,BemTes,BraMon,CeratoA,CeratoL,ChironL,ChironP,CicHyb,Clubio,CoccinA,ColeopA,ColeopL,Curcu1A,Curcu2A,DinFerr,DinMegA,DinMegL,Dipte1L,Dipte2L,DipterA,DruDis,Dysder,ElaterA,ElmidaA,ElmidaL,Entomo,EphDan,EphemeA,Formi1A,Formi1W,Formi2,GamSpp,GloSpp,GyriniA,HelSpp,HemiptA,HexSpp,Hirudi,Hydrom,Hydrac,HydropL,HydSppL,HydSppP,Hymeno,LabRip,LepidoA,LeuSpp,LioQua,MicMin,Mirida,NebPic,OchRos,Oligoc,OreSppA,OreSppL,PaeRub,ParWag,PerAer,PhiRuf,PirLat,Pisaur,ProSpp,RhaSpp,RhiSpp,RhyHir,RhyTriL,RhyTriP,ScoGra,SerIgn,SimuliL,TabaniL,ThiDil,Thomis,Thysan,TipSpp,TipuliA,TrichoA
S6/B7-P,0,0,0,0.2,0,0,0,0.2,0,0.2,0,0,1.4,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,3.2,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7/A1-P,0.333333333,0,0,0.111111111,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0.111111111,0,0,0,0,0.111111111,0.444444444,0,0,0,0,0,0,0,0,3.444444444,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7/A2-P,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,0.222222222,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.111111111,0,0,0,0,0
S7/A3-P,0.111111111,0,0,0.111111111,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0.222222222,0,0,0.111111111,0,0,0,0,0.111111111,1.222222222,0,0.222222222,0.666666667,0.111111111,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0
S7/A4-P,0,0,0,0.222222222,0,0,0,0.333333333,0,0.444444444,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,2.222222222,0,0,0.777777778,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0.555555556,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7/A5-P,0,0,0,0.111111111,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.333333333,0,0,0,0,0,0,0,1.111111111,0,0.444444444,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0.333333333,0,0,0,0,0,0,0,0.111111111,1.444444444,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0
S7/A6-P,0,0,0,0.111111111,0,0,0,0.555555556,0,0.777777778,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0.444444444,0,0.111111111,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,1.444444444,0,0,0,0,0
S7/A7-P,0,0,0,0.222222222,0,0,0,1.555555556,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,1.333333333,0,0,0.555555556,0.111111111,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0
S7/B1-P,1,0,0,0.111111111,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0.111111111,0.222222222,0,0,0,0,0,0.111111111,0,0.555555556,0,0,0.111111111,0,0,0,0,0,0.888888889,0.333333333,1.444444444,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0.888888889,0,0,0.555555556,0,0,1,0,0,0,0,0,0.777777778,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0
S7/B2-P,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,3,0,0,0.222222222,0,0,0,0,0,0,0,0.111111111,0.222222222,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0
S7/B3-P,0,0,0,0.333333333,0,0,0,0.222222222,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.333333333,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,2.666666667,0,0,0.333333333,0.111111111,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0
S7/B4-P,0,0,0,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.444444444,0,0,0,0,0,0,0,0,0,0,0.111111111,1.777777778,0,0.111111111,0.444444444,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0
S7/B5-P,0,0,0,0.333333333,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.222222222,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.666666667,0,0,0,0,0,0,0,0,0,0,0.111111111,0.555555556,0,0.111111111,0.222222222,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7/B6-P,0,0,0,0.111111111,0,0,0,0.444444444,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,0,0,0,0,0,0,0,0,0,0,0.222222222,1.333333333,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0
S7/B7-P,0,0,0,0.111111111,0,0,0,1.444444444,0,0.888888889,0,0,0,0,0,0,0.111111111,0.555555556,0,0,0.111111111,0,0,0,0,0,0,0,0.888888889,0,0.111111111,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0.444444444,3.222222222,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
